Country Origin Name,Country Dest Name,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000],Include,L_Or,L_Des,,
"Iran, Islamic Rep.",Iraq,31419,21455,15104,13305,1923,TRUE,Persian,Arabic,TRUE,TRUE
"Iran, Islamic Rep.",Jordan,110,40,22,79,94,FALSE,Persian,Arabic,TRUE,FALSE
"Iran, Islamic Rep.",Kuwait,19453,46502,75133,12408,11717,TRUE,Persian,Arabic,TRUE,TRUE
"Iran, Islamic Rep.",Lebanon,675,612,448,1787,2276,TRUE,Persian,Arabic,TRUE,TRUE
"Iran, Islamic Rep.",Malaysia,0,36,107,342,542,FALSE,Persian,Malay,TRUE,FALSE
"Iran, Islamic Rep.",Russian Federation,0,0,0,0,11686,TRUE,Persian,Russian,TRUE,TRUE
"Iran, Islamic Rep.",Saudi Arabia,35,195,995,2592,2804,TRUE,Persian,Arabic,TRUE,TRUE
"Iran, Islamic Rep.",Sudan,8,8,10,26,32,FALSE,Persian,Arabic,TRUE,FALSE
"Iran, Islamic Rep.",Turkey,5077,6286,6315,10341,13096,TRUE,Persian,Turkish,TRUE,TRUE
"Iran, Islamic Rep.",France,14380,1438,12867,18844,24260,TRUE,Persian,French,TRUE,TRUE
"Iran, Islamic Rep.",Japan,5,84,186,644,5591,TRUE,Persian,Japanese,TRUE,TRUE
"Iran, Islamic Rep.",Singapore,12,20,52,128,948,FALSE,Persian,English,TRUE,FALSE
